image,black_percent,has_ship,ship_count,annotation
GF1_WFV1_E110.3_N19.6_20200703_L2A0004902371_12288_13824.png,62.2646,yes,2,GF1_WFV1_E110.3_N19.6_20200703_L2A0004902371_12288_13824.txt
GF1_WFV1_E110.3_N19.6_20200703_L2A0004902371_13872_2048.png,51.3496,yes,6,GF1_WFV1_E110.3_N19.6_20200703_L2A0004902371_13872_2048.txt
GF1_WFV1_E110.3_N19.6_20200703_L2A0004902371_4608_0.png,86.4002,no,0,GF1_WFV1_E110.3_N19.6_20200703_L2A0004902371_4608_0.txt
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_12288_14696.png,76.8261,no,0,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_12288_14696.txt
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_14848_14696.png,69.4752,yes,2,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_14848_14696.txt
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15360_11264.png,60.5335,no,0,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15360_11264.txt
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15360_11776.png,76.6556,no,0,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15360_11776.txt
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15485_10240.png,52.7576,no,0,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15485_10240.txt
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15485_10752.png,68.8511,yes,2,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15485_10752.txt
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15485_11776.png,98.4825,no,0,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15485_11776.txt
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15872_8192.png,64.2395,yes,2,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15872_8192.txt
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15872_8704.png,80.2307,yes,1,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15872_8704.txt
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15997_7168.png,56.7322,yes,1,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15997_7168.txt
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_16509_5120.png,93.1213,no,0,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_16509_5120.txt
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_4096_0.png,70.8351,no,0,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_4096_0.txt
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_6144_13824.png,98.4303,no,0,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_6144_13824.txt
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_7680_13824.png,52.3911,yes,2,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_7680_13824.txt
GF1_WFV2_E111.6_N17.5_20200703_L2A0004902588_12800_9728.png,90.0463,no,0,GF1_WFV2_E111.6_N17.5_20200703_L2A0004902588_12800_9728.txt
GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_2048_0.png,99.9996,no,0,GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_2048_0.txt
GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_6656_14167.png,91.8106,no,0,GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_6656_14167.txt
GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_7168_14167.png,71.6141,yes,1,GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_7168_14167.txt
GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_7680_14167.png,51.3138,no,0,GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_7680_14167.txt
GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278_0_10752.png,68.5982,no,0,GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278_0_10752.txt
GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278_12288_12800.png,68.1503,yes,1,GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278_12288_12800.txt
GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278_14019_3584.png,57.7362,no,0,GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278_14019_3584.txt
GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278_14019_4096.png,76.9836,no,0,GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278_14019_4096.txt
GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278_14019_4608.png,95.3495,no,0,GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278_14019_4608.txt
GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278_6144_13824.png,56.4034,yes,1,GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278_6144_13824.txt
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_1024_5632.png,75.6260,no,0,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_1024_5632.txt
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_1024_6144.png,55.1014,yes,2,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_1024_6144.txt
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_1536_3072.png,78.0388,yes,1,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_1536_3072.txt
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_1536_3584.png,57.5745,yes,2,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_1536_3584.txt
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_2048_0.png,97.7020,yes,1,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_2048_0.txt
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_2048_1024.png,59.7401,yes,1,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_2048_1024.txt
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_2048_512.png,80.1346,no,0,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_2048_512.txt
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_4608_0.png,88.9236,no,0,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_4608_0.txt
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_5120_0.png,99.9771,no,0,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_5120_0.txt
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_512_8192.png,72.9092,no,0,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_512_8192.txt
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_512_8704.png,52.3209,yes,1,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_512_8704.txt
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_6144_13824.png,53.6861,no,0,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_6144_13824.txt
GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428_12800_10240.png,67.6327,yes,6,GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428_12800_10240.txt
GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428_13312_7680.png,62.6213,no,0,GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428_13312_7680.txt
