model,variant,metric,n,mean,std,seeds,status,gflops,params_m,complexity_input
cascade_rcnn,base,coco/bbox_mAP,3,0.334,0.012124355652982153,42 43 44,ok,87.898,69.152,640x384
cascade_rcnn,base,coco/bbox_mAP_50,3,0.9,0.010392304845413272,42 43 44,ok,87.898,69.152,640x384
cascade_rcnn,base,coco/bbox_mAP_75,3,0.121,0.015588457268119901,42 43 44,ok,87.898,69.152,640x384
cascade_rcnn,base,coco/bbox_mAP_s,3,0.334,0.008660254037844393,42 43 44,ok,87.898,69.152,640x384
cascade_rcnn,base,coco/bbox_mAP_m,3,0.3406666666666667,0.016165807537309503,42 43 44,ok,87.898,69.152,640x384
cascade_rcnn,base,coco/bbox_mAP_l,3,-1.0,0.0,42 43 44,ok,87.898,69.152,640x384
faster_rcnn,base,coco/bbox_mAP,3,0.3383333333333333,0.009865765724632485,42 43 44,ok,60.099,41.348,640x384
faster_rcnn,base,coco/bbox_mAP_50,3,0.8966666666666667,0.015567059238447504,42 43 44,ok,60.099,41.348,640x384
faster_rcnn,base,coco/bbox_mAP_75,3,0.11566666666666667,0.012423096769056152,42 43 44,ok,60.099,41.348,640x384
faster_rcnn,base,coco/bbox_mAP_s,3,0.3333333333333333,0.0198578280114753,42 43 44,ok,60.099,41.348,640x384
faster_rcnn,base,coco/bbox_mAP_m,3,0.3496666666666667,0.009504384952922149,42 43 44,ok,60.099,41.348,640x384
faster_rcnn,base,coco/bbox_mAP_l,3,-1.0,0.0,42 43 44,ok,60.099,41.348,640x384
fcos,base,coco/bbox_mAP,3,0.2553333333333333,0.07409678355592321,42 43 44,ok,47.148,32.113,640x384
fcos,base,coco/bbox_mAP_50,3,0.7773333333333333,0.1752864322568445,42 43 44,ok,47.148,32.113,640x384
fcos,base,coco/bbox_mAP_75,3,0.069,0.033955853692699295,42 43 44,ok,47.148,32.113,640x384
fcos,base,coco/bbox_mAP_s,3,0.268,0.020663978319771813,42 43 44,ok,47.148,32.113,640x384
fcos,base,coco/bbox_mAP_m,3,0.2776666666666667,0.09592879303594584,42 43 44,ok,47.148,32.113,640x384
fcos,base,coco/bbox_mAP_l,3,-1.0,0.0,42 43 44,ok,47.148,32.113,640x384
