filename,issue_type,severity,details
,large_scene,distribution_characteristic,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887: images=152
,large_scene,distribution_characteristic,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231: images=182
,large_scene,distribution_characteristic,GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897: images=165
,large_scene,distribution_characteristic,GF1_WFV3_E122.4_N37.3_20190805_L2A0004161911: images=152
,large_scene,distribution_characteristic,GF1_WFV4_E124.0_N35.2_20200407_L1A0004724410: images=138
,large_scene,distribution_characteristic,GF6_WFV_E132.4_N35.8_20200914_L1A1120035552-1: images=204
,object_dense_scene,distribution_characteristic,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887: objects/image=1.5987
,object_dense_scene,distribution_characteristic,GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840: objects/image=1.3435
,object_dense_scene,distribution_characteristic,GF6_WFV_E131.2_N35.8_20200910_L1A1120034678-3: objects/image=1.4773
,object_dense_scene,distribution_characteristic,GF6_WFV_E131.8_N38.0_20200910_L1A1120034675-1: objects/image=1.6053
,object_dense_scene,distribution_characteristic,GF6_WFV_E132.4_N35.8_20200914_L1A1120035552-1: objects/image=1.8480
,object_dense_scene,distribution_characteristic,GF6_WFV_E132.4_N35.8_20200914_L1A1120035552-3: objects/image=1.8000
GF1_WFV1_E110.3_N19.6_20200703_L2A0004902371_12288_13824.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV1_E110.3_N19.6_20200703_L2A0004902371_2560_4096.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV1_E110.3_N19.6_20200703_L2A0004902371_6656_3072.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_10752_8192.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_10752_9216.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_11264_9728.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_13312_10240.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_13312_10752.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15872_6656.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_7680_13312.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_8192_13312.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E111.6_N17.5_20200703_L2A0004902588_11776_11776.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E111.6_N17.5_20200703_L2A0004902588_9728_2048.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278_1024_11776.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278_12800_4608.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278_512_11776.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278_8704_13824.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_11776_8192.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_1536_4608.png,bbox_touches_image_edge,suspicious_but_valid,boxes=2
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_1536_5120.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_2048_0.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_2048_1024.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_2048_9216.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_2560_3584.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_2560_6144.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_3584_0.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_3584_512.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_4608_1024.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_8192_3072.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_8704_11776.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428_0_12288.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428_10752_9216.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428_10752_9728.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428_12593_7168.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428_13105_4608.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428_5120_9728.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428_9216_10240.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E112.5_N22.2_20190806_L2A0004164434_10752_11264.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E113.4_N17.2_20200703_L2A0004902183_1024_9216.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E113.4_N17.2_20200703_L2A0004902183_7680_3584.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_10752_10752.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_10752_11264.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_11264_4096.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_11776_12288.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_12800_4608.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_12800_8192.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_14187_4608.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_14699_5120.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_8192_12288.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_8192_13824.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_8704_9728.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_9216_10752.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_9216_8704.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E120.2_N22.2_20200710_L2A0004922264_10752_10240.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E120.2_N22.2_20200710_L2A0004922264_11264_10240.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
GF1_WFV3_E120.2_N22.2_20200710_L2A0004922264_11264_12288.png,bbox_touches_image_edge,suspicious_but_valid,boxes=1
