group_id,duplicate_type,filename,other_filename,distance,hash
near-1,perceptual_near,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15485_11776.png,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_9216_11776.png,4,
near-2,perceptual_near,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15485_11776.png,GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_15723_5120.png,4,
near-3,perceptual_near,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15485_11776.png,GF1_WFV4_E124.5_N35.2_20200922_L1A0005079948_7680_12288.png,4,
near-4,perceptual_near,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15485_11776.png,GF6_WFV_E131.9_N22.4_20190604_L1A1119887740-1_5120_0.png,4,
near-5,perceptual_near,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15485_11776.png,GF6_WFV_E132.4_N35.8_20200914_L1A1120035552-1_10752_5120.png,4,
near-6,perceptual_near,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_15485_11776.png,GF6_WFV_E132.4_N35.8_20200914_L1A1120035552-2_10752_11264.png,2,
near-7,perceptual_near,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_9216_11776.png,GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_15723_5120.png,2,
near-8,perceptual_near,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_9216_11776.png,GF1_WFV4_E124.5_N35.2_20200922_L1A0005079948_7680_12288.png,2,
near-9,perceptual_near,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_9216_11776.png,GF6_WFV_E131.9_N22.4_20190604_L1A1119887740-1_5120_0.png,4,
near-10,perceptual_near,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_9216_11776.png,GF6_WFV_E132.4_N35.8_20200914_L1A1120035552-1_10752_5120.png,2,
near-11,perceptual_near,GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_9216_11776.png,GF6_WFV_E132.4_N35.8_20200914_L1A1120035552-2_10752_11264.png,2,
near-12,perceptual_near,GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_2048_0.png,GF6_WFV_E131.6_N24.9_20190302_L1A1119852281-2_0_14848.png,0,
near-13,perceptual_near,GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_2048_0.png,GF6_WFV_E131.6_N24.9_20190302_L1A1119852281-2_1536_14336.png,0,
near-14,perceptual_near,GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_2048_0.png,GF6_WFV_E131.6_N24.9_20190302_L1A1119852281-2_1536_14848.png,0,
near-15,perceptual_near,GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_2048_0.png,GF6_WFV_E132.4_N35.8_20200914_L1A1120035552-1_10752_5632.png,0,
near-16,perceptual_near,GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_2048_0.png,GF6_WFV_E132.4_N35.8_20200914_L1A1120035552-1_7680_1536.png,0,
near-17,perceptual_near,GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_2048_0.png,GF6_WFV_E132.4_N35.8_20200914_L1A1120035552-1_7680_512.png,0,
near-18,perceptual_near,GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_2048_0.png,GF6_WFV_E134.3_N40.2_20200918_L1A1120036758-1_10752_8704.png,0,
near-19,perceptual_near,GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_2048_0.png,GF6_WFV_E134.3_N40.2_20200918_L1A1120036758-1_11264_8704.png,0,
near-20,perceptual_near,GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_2048_0.png,GF6_WFV_E134.3_N40.2_20200918_L1A1120036758-1_12928_6144.png,0,
near-21,perceptual_near,GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_2048_0.png,GF6_WFV_E134.3_N40.2_20200918_L1A1120036758-1_6144_10752.png,0,
near-22,perceptual_near,GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_2048_0.png,GF6_WFV_E134.3_N40.2_20200918_L1A1120036758-1_6656_12800.png,0,
near-23,perceptual_near,GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375_2048_0.png,GF6_WFV_E134.3_N40.2_20200918_L1A1120036758-1_7680_16896.png,0,
near-24,perceptual_near,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_1024_6144.png,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_512_8704.png,4,
near-25,perceptual_near,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_1536_5120.png,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_2048_2560.png,4,
near-26,perceptual_near,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_1536_5120.png,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_9728_3584.png,2,
near-27,perceptual_near,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_2048_0.png,GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428_512_7680.png,0,
near-28,perceptual_near,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_2048_2560.png,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_9728_3584.png,2,
near-29,perceptual_near,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_4608_4096.png,GF6_WFV_E131.4_N22.4_20200419_L1A1119988588-2_16896_15360.png,4,
near-30,perceptual_near,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_5120_0.png,GF1_WFV4_E124.6_N36.8_20191206_L1A0004447277_8704_512.png,4,
near-31,perceptual_near,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_6144_13824.png,GF1_WFV3_E122.4_N37.3_20190805_L2A0004161911_3072_13312.png,4,
near-32,perceptual_near,GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231_7680_13824.png,GF6_WFV_E132.4_N35.8_20200914_L1A1120035552-1_10240_512.png,4,
near-33,perceptual_near,GF1_WFV3_E113.4_N17.2_20200703_L2A0004902183_4608_4608.png,GF6_WFV_E131.2_N35.8_20200910_L1A1120034678-2_15872_13824.png,4,
near-34,perceptual_near,GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840_10240_14848.png,GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897_7168_14336.png,4,
