scene_id,satellite,sensor,longitude,latitude,capture_date,product_id,image_count,object_count,positive_images,tile_x_min,tile_x_max,tile_y_min,tile_y_max,black_ratio_mean,brightness_mean,sharpness_mean,objects_per_image,positive_image_ratio
GF1_WFV1_E110.0_N17.9_20200703_L2A0004902374,GF1,WFV1,110.0,17.9,2020-07-03,L2A0004902374,37,17,15,1536,12872,3584,12288,0.01804753896352407,82.12246003022065,9.803026274712268,0.4594594594594595,0.40540540540540543
GF1_WFV1_E110.3_N19.6_20200703_L2A0004902371,GF1,WFV1,110.3,19.6,2020-07-03,L2A0004902371,35,43,20,2048,13872,0,13824,0.111151123046875,110.81511132376535,27.11365170456203,1.2285714285714286,0.5714285714285714
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887,GF1,WFV1,120.0,36.3,2020-04-23,L2A0004760887,152,243,100,2048,16509,0,14696,0.08488750457763672,70.0811417981198,12.845416317249194,1.5986842105263157,0.6578947368421053
GF1_WFV1_E127.5_N16.2_20200630_L2A0004898206,GF1,WFV1,127.5,16.2,2020-06-30,L2A0004898206,11,3,3,2560,11264,8192,12800,0.0,79.67978564175692,5.314033153473495,0.2727272727272727,0.2727272727272727
GF1_WFV2_E111.6_N17.5_20200703_L2A0004902588,GF1,WFV2,111.6,17.5,2020-07-03,L2A0004902588,38,18,15,1024,12901,2048,12800,0.0645319286145662,101.54172806990773,41.57861862648899,0.47368421052631576,0.39473684210526316
GF1_WFV2_E112.0_N19.2_20200703_L2A0004902375,GF1,WFV2,112.0,19.2,2020-07-03,L2A0004902375,36,19,16,512,11776,0,14167,0.11922836303710938,105.22616132100423,33.69249766287572,0.5277777777777778,0.4444444444444444
GF1_WFV2_E118.9_N24.3_20200710_L2A0004922278,GF1,WFV2,118.9,24.3,2020-07-10,L2A0004922278,103,133,71,0,14019,3072,14629,0.0704491624554384,94.15812183120876,25.586845959035607,1.2912621359223302,0.6893203883495146
GF1_WFV2_E123.6_N29.3_20190910_L2A0004239231,GF1,WFV2,123.6,29.3,2019-09-10,L2A0004239231,182,215,125,0,11776,0,13824,0.0700928195492252,59.70691567724878,9.46063252035682,1.1813186813186813,0.6868131868131868
GF1_WFV2_E129.9_N19.2_20200630_L2A0004898208,GF1,WFV2,129.9,19.2,2020-06-30,L2A0004898208,7,2,2,10240,11776,4096,7680,0.0,139.4266024998256,23.350702332885703,0.2857142857142857,0.2857142857142857
GF1_WFV3_E112.3_N21.4_20190806_L2A0004164428,GF1,WFV3,112.3,21.4,2019-08-06,L2A0004164428,129,148,79,0,14129,4096,13824,0.037406300389489465,119.17287734867067,21.95000643091348,1.1472868217054264,0.6124031007751938
GF1_WFV3_E112.5_N22.2_20190806_L2A0004164434,GF1,WFV3,112.5,22.2,2019-08-06,L2A0004164434,39,39,28,2560,11776,10240,13824,0.009101672050280448,145.17256115644406,35.74377849985896,1.0,0.717948717948718
GF1_WFV3_E112.6_N13.8_20200703_L2A0004902372,GF1,WFV3,112.6,13.8,2020-07-03,L2A0004902372,5,3,3,2048,15384,3584,7168,0.1770355224609375,97.2924690246582,46.266015102140955,0.6,0.6
GF1_WFV3_E113.4_N17.2_20200703_L2A0004902183,GF1,WFV3,113.4,17.2,2020-07-03,L2A0004902183,41,16,14,1024,15870,0,10752,0.065416940828649,86.42605311696123,22.813516791474797,0.3902439024390244,0.34146341463414637
GF1_WFV3_E119.6_N35.6_20200424_L2A0004760840,GF1,WFV3,119.6,35.6,2020-04-24,L2A0004760840,131,176,93,6144,15723,4096,15201,0.03959489778707956,89.37229567083693,12.92179029757894,1.3435114503816794,0.7099236641221374
GF1_WFV3_E120.2_N22.2_20200710_L2A0004922264,GF1,WFV3,120.2,22.2,2020-07-10,L2A0004922264,101,80,51,2048,13950,0,14848,0.04261035730343054,127.4531728159083,122.42773513963802,0.7920792079207921,0.504950495049505
GF1_WFV3_E121.9_N35.6_20190805_L2A0004161897,GF1,WFV3,121.9,35.6,2019-08-05,L2A0004161897,165,146,92,1024,14465,1536,15148,0.07152346986712832,81.19534186160925,27.94466832836545,0.8848484848484849,0.5575757575757576
GF1_WFV3_E122.4_N37.3_20190805_L2A0004161911,GF1,WFV3,122.4,37.3,2019-08-05,L2A0004161911,152,161,104,2048,13422,512,15134,0.039988818921540915,88.75717770425896,30.410685030718206,1.0592105263157894,0.6842105263157895
GF1_WFV3_E128.3_N25.6_20200602_L2A0004840282,GF1,WFV3,128.3,25.6,2020-06-02,L2A0004840282,5,2,2,6144,9216,3072,7680,0.0,169.2976188659668,16.730332444916712,0.4,0.4
GF1_WFV3_E130.9_N15.5_20200630_L2A0004898205,GF1,WFV3,130.9,15.5,2020-06-30,L2A0004898205,3,1,1,7168,7680,13312,13824,0.0035196940104166665,90.59368260701497,28.337945697508985,0.3333333333333333,0.3333333333333333
GF1_WFV3_E131.3_N17.2_20200630_L2A0004898201,GF1,WFV3,131.3,17.2,2020-06-30,L2A0004898201,22,9,9,2048,9728,1024,11776,0.01441071250221946,116.93328527970748,29.77203431652544,0.4090909090909091,0.4090909090909091
GF1_WFV3_E131.7_N18.9_20200630_L2A0004898210,GF1,WFV3,131.7,18.9,2020-06-30,L2A0004898210,6,3,3,4096,13312,5120,13312,0.003757476806640625,117.40262158711751,23.546250023850007,0.5,0.5
GF1_WFV4_E109.8_N16.7_20200704_L2A0004904643,GF1,WFV4,109.8,16.7,2020-07-04,L2A0004904643,66,24,20,512,20992,3072,14848,0.033600142507842094,67.1628628355084,9.576790991637443,0.36363636363636365,0.30303030303030304
GF1_WFV4_E110.2_N18.4_20200704_L2A0004904642,GF1,WFV4,110.2,18.4,2020-07-04,L2A0004904642,35,14,14,6144,22016,3072,14848,0.011063929966517857,74.70899102347238,7.702088518077757,0.4,0.4
GF1_WFV4_E114.1_N21.0_20190806_L2A0004164437,GF1,WFV4,114.1,21.0,2019-08-06,L2A0004164437,73,26,24,512,13312,2048,11776,0.021807631401166525,109.98397686056894,30.05675884093017,0.3561643835616438,0.3287671232876712
GF1_WFV4_E114.4_N21.8_20190806_L2A0004164425,GF1,WFV4,114.4,21.8,2019-08-06,L2A0004164425,94,55,46,0,17069,3072,14848,0.03217072182513298,113.00839736613821,39.78101472413998,0.5851063829787234,0.48936170212765956
GF1_WFV4_E114.5_N11.7_20200703_L2A0004902460,GF1,WFV4,114.5,11.7,2020-07-03,L2A0004902460,17,7,7,1536,13824,2560,9728,0.00955828498391544,138.56878347957834,27.39346764566332,0.4117647058823529,0.4117647058823529
GF1_WFV4_E124.0_N33.5_20131122_L1A0000115971,GF1,WFV4,124.0,33.5,2013-11-22,L1A0000115971,79,71,46,0,11488,0,12800,0.0,59.77849747862997,5.378458240322726,0.8987341772151899,0.5822784810126582
GF1_WFV4_E124.0_N35.2_20200407_L1A0004724410,GF1,WFV4,124.0,35.2,2020-04-07,L1A0004724410,138,106,74,0,11488,0,12800,0.0,81.83241697670756,6.34633832462229,0.7681159420289855,0.5362318840579711
GF1_WFV4_E124.0_N36.8_20191202_L1A0004438746,GF1,WFV4,124.0,36.8,2019-12-02,L1A0004438746,12,3,3,2048,5120,5120,7680,0.0,116.20919005076091,73.00257317051971,0.25,0.25
GF1_WFV4_E124.1_N30.1_20190629_L2A0004085462,GF1,WFV4,124.1,30.1,2019-06-29,L2A0004085462,14,6,5,10752,17408,8192,16269,0.05357088361467634,108.2912039075579,19.45257821689925,0.42857142857142855,0.35714285714285715
GF1_WFV4_E124.1_N33.5_20200812_L1A0004986999,GF1,WFV4,124.1,33.5,2020-08-12,L1A0004986999,42,21,21,0,11488,2048,11776,0.0,97.57869965689522,90.26801727643276,0.5,0.5
GF1_WFV4_E124.1_N35.2_20191206_L1A0004447282,GF1,WFV4,124.1,35.2,2019-12-06,L1A0004447282,17,8,7,0,5632,1024,12800,0.0,105.19485473632812,85.1186363148265,0.47058823529411764,0.4117647058823529
GF1_WFV4_E124.3_N33.5_20200926_L1A0005089385,GF1,WFV4,124.3,33.5,2020-09-26,L1A0005089385,67,38,30,0,11488,0,11776,0.0,66.45605394733487,38.99985506861326,0.5671641791044776,0.44776119402985076
GF1_WFV4_E124.5_N35.2_20200922_L1A0005079948,GF1,WFV4,124.5,35.2,2020-09-22,L1A0005079948,108,70,53,512,11488,0,12888,0.0,65.51694912380643,21.40533482800836,0.6481481481481481,0.49074074074074076
GF1_WFV4_E124.5_N36.8_20190805_L2A0004161899,GF1,WFV4,124.5,36.8,2019-08-05,L2A0004161899,105,73,53,0,16993,3072,14848,0.052012488955543154,76.37346438453311,11.93136633111807,0.6952380952380952,0.5047619047619047
GF1_WFV4_E124.6_N36.8_20191206_L1A0004447277,GF1,WFV4,124.6,36.8,2019-12-06,L1A0004447277,4,2,2,8704,9728,0,512,0.0,51.73250198364258,4.948546645915485,0.5,0.5
