repo,seed,model,variant,bbox_mAP,bbox_mAP_50,bbox_mAP_75,bbox_mAP_s,bbox_mAP_m,finished_at,summary_path,test_json,notes
varroa_mmdet_runs_newmodels_atss_tood,42,atss,base,0.343,0.916,0.119,0.331,0.365,2026-07-13T14:34:35.315599+00:00,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed42/atss/base/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed42/atss/base/test_results/20260713_143421/20260713_143421.json,
varroa_mmdet_runs_newmodels_atss_tood,43,atss,base,0.324,0.893,0.12,0.313,0.346,2026-07-13T14:59:46.574989+00:00,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed43/atss/base/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed43/atss/base/test_results/20260713_145932/20260713_145932.json,
varroa_mmdet_runs_newmodels_atss_tood,44,atss,base,0.337,0.911,0.117,0.336,0.343,2026-07-13T15:25:06.809245+00:00,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed44/atss/base/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed44/atss/base/test_results/20260713_152452/20260713_152452.json,
varroa_mmdet_runs_newmodels_atss_tood,42,atss,dgfe_api,0.34,0.921,0.113,0.326,0.369,2026-07-16T00:21:32.300071+00:00,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed42/atss/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed42/atss/dgfe_api/test_results/20260716_002117/20260716_002117.json,multiple test jsons: 2; used latest 20260716_002117
varroa_mmdet_runs_newmodels_atss_tood,43,atss,dgfe_api,0.34,0.912,0.13,0.325,0.366,2026-07-16T00:46:06.453323+00:00,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed43/atss/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed43/atss/dgfe_api/test_results/20260716_004551/20260716_004551.json,multiple test jsons: 2; used latest 20260716_004551
varroa_mmdet_runs_newmodels_atss_tood,44,atss,dgfe_api,0.328,0.897,0.107,0.322,0.339,2026-07-16T01:01:43.718653+00:00,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed44/atss/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed44/atss/dgfe_api/test_results/20260716_010128/20260716_010128.json,
varroa_srtod_runs,44,cascade,srtod,0.315,0.877,0.101,0.324,0.314,2026-07-13T15:58:49.062658+00:00,hf_runs/varroa_srtod_runs/srtod_cascade/job_summary.json,hf_runs/varroa_srtod_runs/srtod_cascade/test_results/20260713_155800/20260713_155800.json,multiple test jsons: 3; used latest 20260713_155800
varroa_mmdet_runs_dgfe,44,cascade_rcnn,base,0.32,0.888,0.103,0.324,0.322,2026-07-13T05:36:50.018928+00:00,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed44/cascade_rcnn/base/job_summary.json,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed44/cascade_rcnn/base/test_results/20260713_053633/20260713_053633.json,
varroa_mmdet_runs_newmodels,44,cascade_rcnn,base,0.32,0.888,0.103,0.324,0.322,2026-07-13T05:36:50.018928+00:00,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed44/cascade_rcnn/base/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed44/cascade_rcnn/base/test_results/20260713_053633/20260713_053633.json,
varroa_mmdet_runs_dgfe,42,cascade_rcnn,dgfe_api,0.364,0.916,0.158,0.36,0.373,2026-07-13T11:44:12.305576+00:00,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed42/cascade_rcnn/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed42/cascade_rcnn/dgfe_api/test_results/20260713_114351/20260713_114351.json,multiple test jsons: 4; used latest 20260713_114351
varroa_mmdet_runs_newmodels,42,cascade_rcnn,dgfe_api,0.364,0.916,0.158,0.36,0.373,2026-07-13T11:44:12.305576+00:00,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed42/cascade_rcnn/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed42/cascade_rcnn/dgfe_api/test_results/20260713_114351/20260713_114351.json,multiple test jsons: 4; used latest 20260713_114351
varroa_mmdet_runs_dgfe,43,cascade_rcnn,dgfe_api,0.364,0.912,0.177,0.349,0.386,2026-07-13T11:45:54.701440+00:00,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed43/cascade_rcnn/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed43/cascade_rcnn/dgfe_api/test_results/20260713_114535/20260713_114535.json,multiple test jsons: 3; used latest 20260713_114535
varroa_mmdet_runs_newmodels,43,cascade_rcnn,dgfe_api,0.364,0.912,0.177,0.349,0.386,2026-07-13T11:45:54.701440+00:00,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed43/cascade_rcnn/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed43/cascade_rcnn/dgfe_api/test_results/20260713_114535/20260713_114535.json,multiple test jsons: 3; used latest 20260713_114535
varroa_mmdet_runs_newmodels,44,cascade_rcnn,dgfe_api,0.322,0.894,0.093,0.328,0.324,2026-07-13T12:33:07.859643+00:00,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed44/cascade_rcnn/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed44/cascade_rcnn/dgfe_api/test_results/20260713_123250/20260713_123250.json,
varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet,42,dyhead,base,0.334,0.904,0.117,0.312,0.379,2026-07-15T13:59:15.324206+00:00,hf_runs/varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet/varroa_4models_seed42/dyhead/base/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet/varroa_4models_seed42/dyhead/base/test_results/20260715_135849/20260715_135849.json,multiple test jsons: 2; used latest 20260715_135849
varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet,43,dyhead,base,0.329,0.908,0.114,0.308,0.377,2026-07-15T14:55:13.234591+00:00,hf_runs/varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet/varroa_4models_seed43/dyhead/base/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet/varroa_4models_seed43/dyhead/base/test_results/20260715_145446/20260715_145446.json,
