model,variant,n,seeds,mAP_mean,mAP50_mean,mAP75_mean,mAP_values,notes
atss,base,3,"42,43,44",0.335,0.907,0.119,"0.343,0.324,0.337",
atss,dgfe_api,3,"42,43,44",0.346,0.898,0.152,"0.345,0.348,0.346",multiple test jsons: 2; used latest 20260716_002117 | multiple test jsons: 2; used latest 20260716_004551
cascade,srtod,1,44,0.315,0.877,0.101,0.315,multiple test jsons: 3; used latest 20260713_155800
cascade_rcnn,base,1,44,0.320,0.888,0.103,0.320,
cascade_rcnn,dgfe_api,3,"42,43,44",0.350,0.907,0.143,"0.364,0.364,0.322",multiple test jsons: 3; used latest 20260713_114535 | multiple test jsons: 4; used latest 20260713_114351
dyhead,base,3,"42,43,44",0.331,0.905,0.112,"0.334,0.329,0.330",multiple test jsons: 2; used latest 20260715_135849
dyhead,dgfe_api,2,"42,43",0.335,0.908,0.121,"0.342,0.327",
faster,srtod,1,44,0.316,0.885,0.106,0.316,multiple test jsons: 3; used latest 20260713_162458
faster_rcnn,base,1,44,0.332,0.906,0.115,0.332,
faster_rcnn,dgfe_api,3,"42,43,44",0.353,0.903,0.158,"0.366,0.363,0.330",multiple test jsons: 3; used latest 20260713_114426 | multiple test jsons: 3; used latest 20260713_114608
fcos,base,1,44,0.300,0.883,0.081,0.300,
fcos,dgfe_api,3,"42,43,44",0.315,0.879,0.114,"0.319,0.321,0.306",
fcos,srtod,1,44,0.287,0.865,0.086,0.287,multiple test jsons: 3; used latest 20260713_152230
tood,base,3,"42,43,44",0.335,0.884,0.125,"0.334,0.330,0.341",
tood,dgfe_api,3,"42,43,44",0.338,0.874,0.148,"0.341,0.342,0.332",multiple test jsons: 2; used latest 20260716_012245 | multiple test jsons: 2; used latest 20260716_014150
